condition,frontend,feature,clinical,n,rho,p,q_global
rest,alpha_global,occ_L9,updrs_part_iii,113,-0.06113367029690923,0.5200707805270656,0.9930135882425856
rest,alpha_global,occ_L9,updrs_total,113,-0.06875006508853242,0.46933947893136985,0.9930135882425856
rest,alpha_global,occ_L9,moca,113,0.08924830983089177,0.34719106549587336,0.9930135882425856
rest,alpha_global,occ_L9,disease_duration,116,-0.09792425595424412,0.2956669896302781,0.9930135882425856
rest,alpha_global,occ_L9,ledd,115,-0.12287313959805632,0.1907931537994353,0.9534301174509907
rest,alpha_global,occ_L9,pigd_score,113,-0.03787685976656018,0.6904070338715474,0.9930135882425856
rest,alpha_global,occ_L9,td_score,113,-0.020132119759911582,0.8323806155963084,0.9930135882425856
rest,alpha_global,occ_L9,ctt,109,-0.05554879596036349,0.5661684025403593,0.9930135882425856
rest,alpha_global,occ_L10,updrs_part_iii,113,0.13859144144398008,0.14320996842676156,0.9534301174509907
rest,alpha_global,occ_L10,updrs_total,113,0.1862367985189146,0.048265043683023846,0.9534301174509907
rest,alpha_global,occ_L10,moca,113,-0.0621074428362439,0.513432811962738,0.9930135882425856
rest,alpha_global,occ_L10,disease_duration,116,0.12466972877943189,0.18240017801197791,0.9534301174509907
rest,alpha_global,occ_L10,ledd,115,0.15609725153860576,0.09573370078850248,0.9534301174509907
rest,alpha_global,occ_L10,pigd_score,113,0.1808500313931923,0.055247457384179056,0.9534301174509907
rest,alpha_global,occ_L10,td_score,113,0.02650844700106404,0.7804715888038567,0.9930135882425856
rest,alpha_global,occ_L10,ctt,109,0.10009895148301638,0.30037989501549844,0.9930135882425856
rest,alpha_global,occ_L11,updrs_part_iii,113,0.02446156568250124,0.7970419010320832,0.9930135882425856
rest,alpha_global,occ_L11,updrs_total,113,-0.02761395589984397,0.771562279339308,0.9930135882425856
rest,alpha_global,occ_L11,moca,113,0.01840168010192298,0.8466034550948147,0.9930135882425856
rest,alpha_global,occ_L11,disease_duration,116,0.03728620302948896,0.6910917571431403,0.9930135882425856
rest,alpha_global,occ_L11,ledd,115,-0.0025660396933400408,0.9782865448242375,0.9992686269414356
rest,alpha_global,occ_L11,pigd_score,113,-0.022471554501529777,0.8132388769461099,0.9930135882425856
rest,alpha_global,occ_L11,td_score,113,0.028494914312082755,0.7644837777146222,0.9930135882425856
rest,alpha_global,occ_L11,ctt,109,0.0434416414730005,0.6537728661085872,0.9930135882425856
rest,beta_global,mean_H,updrs_part_iii,113,-0.029535325027887017,0.7561490489531486,0.9930135882425856
rest,beta_global,mean_H,updrs_total,113,-0.03300345446853664,0.7285722951732516,0.9930135882425856
rest,beta_global,mean_H,moca,113,0.07285308643697895,0.44317188882150277,0.9930135882425856
rest,beta_global,mean_H,disease_duration,116,-0.03817483255117371,0.6841172686571886,0.9930135882425856
rest,beta_global,mean_H,ledd,115,-0.10386864130977598,0.2692939668474171,0.9835855403314475
