frontend,condition,change,feature,n,rho,p,q_global
alpha_global,baseline,False,occ_L11,30,-0.2044496701603191,0.2784834351736393,0.9894404911404886
alpha_global,early_abrupt,False,mean_H,30,0.4636886415885913,0.009855908648871146,0.8360892454489866
alpha_global,early_abrupt,False,sd_H,30,0.10494102196267081,0.5810238793215087,0.989854645308112
alpha_global,early_abrupt,False,mean_D,30,0.16675701949563157,0.37845563415938915,0.9894404911404886
alpha_global,early_abrupt,False,sd_D,30,0.16675701949563157,0.37845563415938915,0.9894404911404886
alpha_global,early_abrupt,False,mean_lambda,30,0.44397226012231683,0.013982652327609741,0.9894404911404886
alpha_global,early_abrupt,False,sd_lambda,30,0.08091263266584872,0.6708049041820076,0.989854645308112
alpha_global,early_abrupt,False,multilevel,30,0.1771924779845835,0.3488997817850392,0.9894404911404886
alpha_global,early_abrupt,False,pivot_rate,30,-0.0463260108153577,0.8079383033006334,0.989854645308112
alpha_global,early_abrupt,False,compound_pivot_fraction,30,0.13039082178371836,0.4922249778435377,0.9894404911404886
alpha_global,early_abrupt,False,pivot_depth,30,0.10782670426559907,0.57060965868214,0.989854645308112
alpha_global,early_abrupt,False,tree_span_events,30,-0.03534791156869881,0.852884374882488,0.989854645308112
alpha_global,early_abrupt,False,tree_span_time,30,-0.019799777530589546,0.9172886297292693,0.9920481792692906
alpha_global,early_abrupt,False,tree_root_fraction,30,-0.050570387283535,0.7907124585093931,0.989854645308112
alpha_global,early_abrupt,False,tree_ascending_fraction,30,0.06905433324853776,0.716912641165278,0.989854645308112
alpha_global,early_abrupt,False,occ_L2,30,,,
alpha_global,early_abrupt,False,occ_L3,30,-0.06189844605901729,0.7452283522560338,0.989854645308112
alpha_global,early_abrupt,False,occ_L4,30,0.060406698024395813,0.7511737903787146,0.989854645308112
alpha_global,early_abrupt,False,occ_L5,30,-0.2526875326778796,0.1779158238337885,0.9894404911404886
alpha_global,early_abrupt,False,occ_L6,30,-0.07241899528617805,0.7037222338919356,0.989854645308112
alpha_global,early_abrupt,False,occ_L7,30,-0.049855998624319484,0.7936052919405499,0.989854645308112
alpha_global,early_abrupt,False,occ_L8,30,0.27781260501618144,0.137166815152727,0.9894404911404886
alpha_global,early_abrupt,False,occ_L9,30,0.07715215878994704,0.6853094471668724,0.989854645308112
alpha_global,early_abrupt,False,occ_L10,30,-0.007529105537500278,0.9685022898712208,0.9976947347786866
alpha_global,early_abrupt,False,occ_L11,30,0.46523026306057086,0.00958191894920535,0.8360892454489866
alpha_global,late_abrupt,False,mean_H,30,0.07450168271100155,0.6955992646550425,0.989854645308112
alpha_global,late_abrupt,False,sd_H,30,-0.3339639521844911,0.0712852648521668,0.9894404911404886
alpha_global,late_abrupt,False,mean_D,30,0.09208243668497165,0.6284172404837193,0.989854645308112
alpha_global,late_abrupt,False,sd_D,30,0.09206136277768459,0.6284961850614562,0.989854645308112
alpha_global,late_abrupt,False,mean_lambda,30,0.027908625531683887,0.8836097698873141,0.9898591441129636
alpha_global,late_abrupt,False,sd_lambda,30,-0.3203516209884341,0.08436573005406883,0.9894404911404886
alpha_global,late_abrupt,False,multilevel,30,0.10150003093234886,0.5935508350469691,0.989854645308112
alpha_global,late_abrupt,False,pivot_rate,30,0.03649662626020089,0.848157613164089,0.989854645308112
alpha_global,late_abrupt,False,compound_pivot_fraction,30,0.1478971456871533,0.4354210086227924,0.9894404911404886
alpha_global,late_abrupt,False,pivot_depth,30,-0.08745404120675868,0.6458507275941494,0.989854645308112
alpha_global,late_abrupt,False,tree_span_events,30,0.007799445269188638,0.9673719202872014,0.9976947347786866
alpha_global,late_abrupt,False,tree_span_time,30,0.05028368036455183,0.7918731196045842,0.989854645308112
alpha_global,late_abrupt,False,tree_root_fraction,30,-0.12586146314235194,0.5075083873316305,0.989854645308112
alpha_global,late_abrupt,False,tree_ascending_fraction,30,-0.006514658021551017,0.9727445079028375,0.9980258640805014
alpha_global,late_abrupt,False,occ_L2,30,,,
alpha_global,late_abrupt,False,occ_L3,30,-0.06189844605901729,0.7452283522560338,0.989854645308112
alpha_global,late_abrupt,False,occ_L4,30,-0.25143267648537193,0.18015264428162775,0.9894404911404886
alpha_global,late_abrupt,False,occ_L5,30,0.0315043327086448,0.8687354839069678,0.989854645308112
alpha_global,late_abrupt,False,occ_L6,30,0.15741145370891813,0.4061203755971807,0.9894404911404886
alpha_global,late_abrupt,False,occ_L7,30,-0.054373995511027395,0.7753569075641052,0.989854645308112
